username,password,FirstName,LastName,HouseNum,Street,State,City,Zip,savingsBalance,checkingBalance,creditCardBalance,creditLimit,carLoan,houseLoan
tokenpretzel,y3pg2CHP,Loriann,Linscott,5910,Beechwood Ave. Linden,AZ,Glendale,62645,380428.8,1919.631468,2832.133896,10547,43354,229554
hivesemiotics,vBzKYYbT,Johnathan,Justiniano,1476,General Avenue Marion,AZ,Tempe,55089,2735381.9,804.6505997,12803.65847,22372,54039,289730
heaphandler,btHxGv9j,Sindy,Springfield,2237,Berry Circle San Diego,AZ,Little Rock,26529,4628377.5,8334.534864,885.5965635,7262,48394,561799
sheriffpincers,rtcHUbhF,Neveah,Cochran,5597,Cathedral Ave. Springfield Gardens,AR,Onset,75749,399060.9,2098.79866,28844.73009,20317,48394,132867
supercargowreck,a55qyLbR,Kassidy,Spears,4058,Blossom Court Hazleton,CA,Stollings,24640,961813.8,11089.04029,58680.93054,16019,48394,494241
hockeyesteemed,EpgLHunu,Melany,Beasley,3265,Wrangler St. Saint Johns,DE,Pine Hollow,51425,1499026.9,1844.06802,6175.771219,21313,48394,212794
painspiston,SfMDZRDr,Houston,Price,8085,Manhattan St. ,FL,Woodstock,19520,96620.2,941.8138807,3930.945184,10617,48394,496300
rumppotassium,nr5GQb9n,Isabelle,Haas,3420,Bohemia St.,GA,Bark Ranch,26989,506281.7,1496.27033,4168.676743,23344,48394,308759
bagelhearing,pUsbV3wm,Kadence,Hays,5382,Linden Ave. ,HI,Tama,46971,386939.9,998.5285597,5548.927456,7369,48394,238391
carefulfor,gGpL5eBa,Laylah,Merritt,4754, Harrison Township St.,ID,Haven,50868,359677.5,1100.721312,531.2522784,21836,48394,262935
singlematerial,GkXPwGgP,Alfredo,Baxter,5615,Isle Of Pines Dr,KS,Goodwill,15037,4477623.8,19430.53863,958.9148667,1973,48394,153674
kickballsparkling,J9Dntwgx,Ximena,Bradford,1571,Alderson Ave,LA,Bullhead,46583,378250.0,1601.239137,13175.18244,6936,48394,346838
armyspade,qCrjAzcF,Isabell,Bray,4080,Patuxent Pl,AZ,Fort Pierce South,75661,1385535.5,2378.990774,12553.32679,6518,48394,461210
crownparrel,maggie,Jayda,Kramer,4399,W Rice Ave,NY,Port Alexander,35014,234549.3,5820.595811,13126.65859,17683,48394,231082
patsydoading,159753,Saul,Hammond,1068,Fourth St,OH,Fultonham,10752,381062.1,10436.45126,4233.853279,6365,48394,260039
joysknife,aaaaaa,Enrique,Chang,7975,17th St,OR,Muscle Shoals,83421,369719.8,6642.516978,20005.51538,989,48394,392556
hoopsreach,ginger,Maximilian,Madden,3188,N Ripon Rd,PA,Krotz Springs,20573,91090.3,18056.56803,643.7604119,21144,48394,629990
meltingexperience,princess,Madison,Weeks,6136,Franklin St,SC,Radar Base,13463,515614.5,2671.556837,7649.390528,11365,48394,548412
barberchestnut,joshua,Sebastian,Henson,7062,Clarks Ferry Rd,TN,McBee,38965,694410.2,1074.976926,5444.848417,22750,48394,309997
shoddydiss,cheese,Eric,Shaw,9537,"E Lassen Ave, Apt 42",TX,Old Bethpage,43139,1274960.6,30454.91921,258.2640971,19124,48394,162643
rooftough,amanda,Shyanne,Blanchard,1771,Heatherbrook Dr,UT,Mount Holly,51206,2110600.9,1269.100079,6197279.838,17537,48394,101377
sitemappelvis,summer,Jerimiah,Roth,4902,Audubon Rd,VT,Garwin,30081,84677.7,2002.82565,7950.793809,21267,48394,288949
outrageousbaikal,love,Cayden,Perez,3094, Hancock St,WA,Ensley,22690,55265.2,3417.705871,2572.564662,24812,48394,410788
porcupinecartridges,ashley,Tiffany,Thompson,3482,W Moyamensing Ave,CO,Dearborn,57604,1145270.5,1075.944066,36963.22194,2723,48394,278141
coronafeast,6969,Quinn,Kemp,2076,Sloan St,MD,San Pablo,73810,106160.9,2242.78979,1304.287594,20476,48394,197263
airplanesaw,nicole,Jaycee,Andersen,6593,"3309 E Miraloma Ave, Ste 109",MA,Brent,34660,888715.3,990.7105641,3907.777949,891,48394,366576
confitparula,chelsea,Mathias,Wise,9745,SE 16th St,MI,Schiller Park,92199,177391.3,1099.154222,10241.43047,8759,48394,292462
impurenasturtium,biteme,Johnathan,Mcmahon,9879,Bryant Irvin Rd,PA,Fairfield Harbour,10981,1129987.1,58943.96292,10411.88948,12631,48394,132881
unifiedtemple,matthew,Eli,Callahan,4160,Paragon Rd,RI,Brownsboro,43650,946512.2,2532.767157,14774.34659,4661,48394,603463
pastienegligible,access,Maritza,Farley,6728,Cedar Creek Dr,UT,Talking Rock,20562,847261.6,1062.767885,4560.835117,7475,48394,360565
aerobicdesktop,yankees,Jack,Small,6558,Creekmore Ct ,VT,Averill Park,61832,230917.7,1000.792775,4597.027112,20304,48394,464261
presidentsbee,987654321,Gianni,Huynh,3367,E Anaheim St,ND,Holloman,43772,242510.0,1214.671183,1979.93962,13145,48394,445525
beastriesling,dallas,Rex,Stout,6796,Elaine Ave,NC,Mono City,40635,162988.1,1017.750677,3158.785955,17136,48394,558847
rootsalkene,austin,Abdiel,Fernandez,3258,Ronson Rd,IL,Arendtsville,31216,670924.4,847.8962108,10513.04405,16548,48394,166021
imperfectinterval,thunder,Bronson,Pineda,5622,Ottawa Ave,NV,Federal Way,10716,422874.3,993.9542642,49488.71789,23924,48394,167367
usabobble,taylor,Kendall,Villanueva,8740,57th Ave SW,NE,La Monte,81722,85385.2,5187.569884,104565.9788,21835,48394,147349
motionjargon,matrix,Gerald,Santana,1102,W Walton Blvd,FL,Perham,95434,1392811.5,1027.763788,13035.39369,23966,48394,444116
alligatorgraft,efk89aSE,Jefferson,Butler,2977,Armstead Dr,NH,Brodnax,73973,199793.7,1028.922008,9063.967507,3453,48394,495065
syntaxvaruna,ZzAk3NfT,Ayaan,Hutchinson,7599,Hawthorn Hill Ct,NJ,Nilwood,10302,1548455.6,918.4315658,5755.176848,15292,48394,116832
indigocreatures,cMehWfNR,Aaron,Patton,4791,"Little Orchard St, Spc 94",NM,Butters,17230,422115.2,48529.72093,3731.446821,15912,48394,346972
hydratedgymnast,J7pqPEmg,Lydia,Cline,5351,Fairgreen Rd,NY,Lighthouse Point,73625,1520775.6,2252.11019,7007.70559,14115,48394,449403
geigercomputer,7xCnkEUm,Amirah,Lowe,2089,W Mariposa St,OH,Galestown,32318,256314.0,1305.244128,18666.08983,5469,48394,326616
trypowerful,CmrKmL3w,Taylor,Patel,5178,"County Rd W, Lot S1077",OR,St. Clairsville,20233,160600.0,8681.092362,4290.523041,5851,48394,240810
excellentoverhang,CKHz3WnT,Nataly,Mora,8675,"Fourth St, Apt 5",CO,Traskwood,21813,123270.6,1839.910652,1759.781604,13755,48394,581421
puffyowe,ZqLMH8XW,Will,Oconnell,2248,E 29th Rd,CT,Reinerton,77984,481605.2,4554.138335,1752.634129,2914,48394,296835
seatmanuka,DSmBnwDt,Adelaide,Spencer,9453,Ninth St NE,HI,Elk Point,75787,3687491.9,1027.614125,7024.22573,8056,48394,51949
exposuresway,Cd7duaWG,Jaslyn,Hahn,1023,"Fair Ridge Dr, Ste 105",ID,Lavaca,60858,564026.9,1086.455735,13644.16847,22836,48394,308115
marzipanwebsites,YVEWEQ9t,Peyton,Williamson,9246,Westbury Dr,IL,Ewing,86247,3364337.6,1587.44972,10863.2522,8033,48394,417094
mutationgranita,H5Pj7evE,Lyla,Hurst,4107,Stotts St,IA,Burlington Junction,75744,116120.9,1116.582355,23740.36902,13428,48394,83806
bowlergecko,HQKZUR2q,Emelia,Jackson,6779,Hammett Rd,NV,Laketown,34658,632530.9,5480.391013,10077.87544,20471,48394,584790
listenold,KceERUVd,Alden,Jacobson,3801,Echo Bluff Dr,NE,Otterbein,62142,693094.1,1850.695223,787.1403437,5271,48394,176333
bitingthough,FhQbjhA8,Jensen,Sellers,1277,"Ridgecrest Rd, Apt 138",MT,Plum Creek,97091,153992.2,1847.315899,2228.530931,16378,48394,617268
mutuallyeuler,E675sQDe,Kaliyah,Conway,7082,E 29th Rd,ND,Lake Andes,89800,1765194.6,1244.633961,440082.3994,17324,48394,578146
derangedlynx,123456,Brock,Pratt,8073,Us Highway 89 N,OH,North Crossett,15989,641294.1,2053.079927,636.4232077,12119,48394,618965
owlgirolles,12345678,Kelly,Berg,1804,Wolcott St 12505 Valencia St,RI,Four Corners,28220,1002350.1,618.579131,24811.37748,19782,48394,233114
thwacksautÈed,qwerty,August,Frederick,3292,W Lake Rd,SC,Crescent Springs,91702,1159137.7,2951.005145,4863.109959,15966,48394,627513
laminitisblot,abc123,Harrison,Fox,4054,Ackerman Pl,SD,Colcord,41059,1464703.9,1686.248303,26859.94672,20458,48394,442001
shotprinter,monkey,Bethany,Park,8896,Hartford Ave,ND,La Valle,25831,235021.3,20341.40006,17019.00532,7367,48394,272287
speedycapped,1234567,Laurel,Walter,9328,"Gulf Shore Blvd N, Apt 804",MI,East Los Angeles,85601,520748.6,1725.246196,9373.411631,14431,48394,571911
loathsomevolary,letmein,Moriah,Beltran,6749,Rhododendron Way NW,MN,Shidler,49681,63439.4,1788.357778,51446.70435,20517,48394,480233
chirmevidence,trustno1,Shania,Lambert,8404,McAlister St,IA,Limaville,89431,303137.8,847.0676122,11975.60156,15177,48394,449078
websiteburning,dragon,Aiyana,Wood,2209,Old Columbia Pike,IN,Gaston,12949,121930.9,1277.755134,2013.618435,7260,48394,550151
poundsame,baseball,Jonah,Shaffer,2823,Delaware Ave,HI,McElhattan,52626,784877.3,1192.116857,16322.52803,643,48394,141630
wonodd,111111,Mattie,York,1435,Louisville Ave,GA,Methow,23851,18758816.4,1270.944427,8196.081721,20776,48394,223217
limeyhazard,iloveyou,Susan,Lozano,2810,Darcus St,FL,Smolan,71129,850651.6,1958.127035,7829.02254,8764,48394,168241
calendarsnowball,master,Kristopher,Blair,7735,Rogue River Ct,CO,Mechanicsville,37348,17836.3,1831.374736,7859.854927,2831,48394,440395
cloningobscene,sunshine,Jaylon,Galloway,5425,Primrose Pl,CT,Allisonia,25691,563436.0,1272.662864,9954.026175,19855,48394,151100
shadywhining,ashley,Alexandra,Barton,5666,177th Pl SE,IA,Tullytown,98428,344923.8,773.9539929,29113.53346,17694,48394,483827
corrodeslive,bailey,Dillan,Mcconnell,2135,Point O Pines Rd W,AZ,Hubbardston,59029,2647168.6,2039.383906,10542.83216,13518,48394,577885
silentoxygen,passw0rd,Joshua,Pacheco,8310,"Virginia Ave, Apt 2",IL,Wendover,21199,207540.4,805.7466625,22006.08853,14630,48394,634897
naivehungry,shadow,Jaidyn,Romero,4163,W 10th St,WI,Valley Acres,44741,1221189.4,2531.067844,5734.314341,19757,48394,357002
offendedscattered,123123,Nathalie,Yang,6241,Caseda,MT,Wolf Lake,62711,1036036.6,989.4753851,2065.559295,2469,48394,234809
althoughdewberry,654321,Aliza,Daniels,8692,County Road 2220,MO,Grundy Center,41966,324227.5,6901.188269,7637.978544,14763,48394,111882
rowingsatellite,superman,Margaret,Jensen,1798,Gates Cir,NJ,Rocky Ripple,21578,758006.0,795.8423733,5131.972369,7482,48394,485202
presumablypencil,qazwsx,Kinsley,Bell,7981,W Us Route 6,NM,Lake Station,92785,191685.8,817.2233515,11196.8429,6980,48394,438452
furtivefastidious,michael,Jaylah,Chaney,8424,Dillon Rd,NM,Moultrie,18934,941593.3,1320.820882,6235.307201,12246,48394,312446
mustynorma,Football,Clark,Gay,4925,Greenwood Ave,RI,Otter Lake,74499,1266366.3,1249.785697,4078.183698,21135,48394,439523
musclestumbleupon,123456,Dalia,Washington,4984,S Minton Rd,SC,Slater,23731,470414.3,645.6221376,13473.56183,6790,48394,481895
olderpublisher,password,Calvin,Briggs,2062,Waller Rd E,SD,Castle Hills,91243,782980.3,1029.889357,2012.059302,13856,48394,636378
phobickeep,12345678,Trace,Gonzalez,4769,La Villa Dr,TN,North Collins,50715,533844.8,999.1547348,6351.784168,13549,48394,181578
fishlithe,qwerty,Clare,Gill,3757,Byron Dr,TX,Loyola,16590,288487.3,13129.69215,14220.32109,5945,48394,625239
monitorstuffing,123456789,Valerie,Hancock,5698,Brandywine Loop NE,UT,Tse Bonito,54219,685339.6,1982.099862,4623.562642,4182,48394,330240
meetbolt,12345,Justus,Guzman,3612,Clay St,TX,Maple Grove,13937,62026.0,651.147834,4189.15166,21915,48394,178194
numberlessfreezing,1234,Litzy,Ramirez,4267,Rivard Blvd,TN,Chance,89257,5219390.9,59770.09273,4811.001631,16992,48394,96833
tubingbasement,111111,Nigel,Wu,9529,Greenwich Ct,OK,Wyndmere,14633,359603.1,13386.8686,21585.26525,1289,48394,331964
rogueorange,1234567,Damarion,Ramos,4490,"Mill Creek Dr, Ste 235",OR,Breesport,33622,280408.3,1448.748148,47845.82048,17530,48394,65437
trucksthumbs,dragon,Viviana,Chase,5201,Windsor Dr,NY,Lake Louise,12651,918896.4,1366.893,180518.5334,15542,48394,218681
heartytransform,123123,Karli,Garza,4443,"84th St, Apt F8",NM,Keedysville,40770,976742.7,20452.22346,4805.095344,11423,48394,319109
scornfulsounding,baseball,Yamilet,Holder,5977,Hardwick St,AZ,Foxholm,72067,633901.2,2954.519929,4254.025338,1339,48394,173051
outhaulbrave,abc123,Charity,Robles,2475,250th St,TX,Brethren,71295,177593.8,655.4346892,12574.89156,19693,48394,429125
doutgreater,football,Piper,Walker,7038,W Seventh St,NV,Laddonia,48952,986444.6,1524.933745,10187.87009,19699,48394,448566
angerdiving,monkey,Orion,Calhoun,1394,Zengel Dr,CA,Eagle Rock,82399,867090.1,1535.429266,1399.361356,1882,48394,173320
gluttonouscomet,letmein,Elaina,Randolph,4121,Chestnut Trl,MI,Pleasant Valley,41764,26778.8,3738.0542,7178.682321,10648,48394,265787
nescafewar,696969,Trent,Beck,3103,Laurel Dr,MN,Jupiter Inlet Colony,92509,190658.9,913.5654441,6037.277952,5164,48394,613682
marseasily,shadow,Londyn,Costa,9258,Live Oak St,KY,Waterloo,83186,239091.7,3516.942286,3306.40882,18863,48394,463904
wherewarlike,master,Landin,Benson,4065,120th St,KS,Eagle Nest,66051,350866.8,2342.406875,2835.679864,5550,48394,550231
heatedpicnic,666666,Yahir,Nixon,4264,Smokey Mountain Way,ME,Mays Lick,42434,1226601.1,2135.786465,11321.63987,3628,48394,203572
maltycofactor,qwertyuiop,Ann,Pace,7433,Bayo Ave,MD,Bairoa La Vienticinco,28799,1085372.3,2197.407354,4572.630392,7226,48394,71131
workbenchfetch,123321,Skyla,Klein,2970,Pine Mill Rd,MS,Chicora,43220,1044459.4,10032.39652,30459.68921,15497,48394,476362
dossierdisastrous,mustang,Ben,Werner,4801,Locust St,MO,Murrysville,28326,215051.7,2653.151357,7941.350928,7523,48394,614460
kamejobs,1234567890,Tristen,Rollins,7035,Pioneer Trl,KS,Perez,46769,709193.4,789.0129913,3689.247634,6512,48394,272879
mercedesvenatici,michael,Arely,Orr,6696,E Sixth St,FL,Mangonia Park,20633,909430.1,5013.122362,10057.62995,7339,48394,319185
divergentceliac,654321,Malachi,Wade,1118,W Rockland St,DE,Marcellus,88782,260478.5,888.5250844,46417.1879,15756,48394,402880
coscastration,freedom,Paityn,Case,3021,Dowers Way ,CT,Markleville,47595,777678.2,596.3914503,71170.96722,18587,48394,406390
fanfaremoisture,superman,Jenna,Olsen,7652,E Greystone Ave,AZ,Russellville,68120,2411346.9,3235.317738,26.95316011,1337,48394,339488
tyrespecimen,1qaz2wsx,Izabella,Lewis,1279,E 31st St,AR,Bonner Springs,58997,135570.0,4570.755849,3252.116487,3044,48394,285751
polymergatorade,7777777,Lance,Burton,7012,Filbert Ave,AK,Prior Lake,36757,485773.9,3891.298546,1607.124475,13086,48394,304205
fibrosismilano,cheese,Jaylon,Lambert,9692,Pine Lake Dr,ID,Manter,39546,226320.9,4120.128545,193781.5425,23980,48394,548334
ringedsteady,121212,Alisa,Estrada,6242,W San Miguel St,HI,North Buena Vista,53613,626015.1,11984.46809,4767.054758,3267,48394,602125
rosarymess,86468876,Lennon,Koch,8283,Benson Mill Rd,GA,Strong,11685,97149115.5,1591.305272,62203.81739,18114,48394,51522
simplybuiltbalance,qazwsx,Preston,York,2156,E Main St,LA,Bolingbrook,52920,1008043.1,1001.442262,28321.04299,16173,48394,200753
varnishbecome,123qwe,Omari,Holland,9997,Oriole Dr,KY,Guntersville,17503,313791.4,16144.4774,13683.46277,23888,48394,623231
rubbermodified,killer,Oliver,Ballard,4012,Denson Ave,OK,Monfort Heights,59466,814573.3,2313.961679,11777.23315,15509,48394,145875
crosstreeswastebasket,trustno1,Carleigh,Barton,7615,Guthrie Rd,SD,Stapleton,54060,2228926.9,794.6950084,56529.43119,4787,48394,461445
existcultures,jordan,Kamora,Giles,4881,Filbert Ave,TN,Moville,18433,236815.4,18674.40743,13797.44062,18879,48394,308157
mildcomfort,jennifer,Kael,Strickland,4048,Second St,TX,Long Valley,35536,1128331.1,897.0252705,10245.48035,16767,48394,393651
doughyhobby,zxcvbnm,Zayden,Wilcox,4977,Rebecca Rd,UT,Wardsville,22874,185461.1,25214.61434,9595.049473,11434,48394,332060
pendingflairhead,asdfgh,Karly,Duarte,3191,Montgomery Park Blvd,VT,Yabucoa,21229,567249.5,1108.904124,21219.93295,17510,48394,101456
cupcakechant,hunter,Neil,Stout,5079,SE Kent Kangley Rd,WA,North Washington,16947,3995672.3,6851.057887,5236.436422,2933,48394,563038
harassitaly,buster,Diana,Saunders,4922,Maureen Dr,CO,Ladora,76682,52074.7,2925.496908,1563.625297,18009,48394,327899
samariumcloistered,soccer,Shaylee,Cummings,2750,Creekside Ct,MD,Gross,33921,2580945.2,590.0153345,10053.66541,18509,48394,349399
searchcheeses,harley,Isabell,Good,8427,Morton Ter,MA,Lehi,20306,421537.5,3375.951609,1477.044762,6843,48394,365810
terramagenta,batman,Braedon,Curry,4821,Bell Schoolhouse Rd,MI,Buffington,16075,775886.9,5788.833399,15222.39911,9713,48394,211063
strangelybell,andrew,Osvaldo,Coffey,1334,Arrowhead Dr,PA,Springfield,25716,322273.6,13823.70666,6566.699807,19579,48394,102727
pigleteye,tigger,Ryker,Warren,9085,N 115th St,RI,Peekskill,83095,197286.0,564.8120483,3819.473656,21161,48394,163882
randomlesions,sunshine,Ruth,Ibarra,2596,Rising Glen Way,UT,La Paz Valley,70520,922301.2,547.0271142,10114.96386,11221,48394,131741
technologybosnian,iloveyou,Autumn,Hale,9984,Burton Dr,VT,Onamia,71259,2857886.9,987.0086896,26039.1235,18927,48394,407446
hilllanged,fuckme,Isabel,Whitaker,8782,Blacksmith Way,ND,March,91299,39619.5,715.3868148,12805.1218,1882,48394,104771
climbcrunching,2000,Cherish,Pope,9821,"Seventh Rd S, Apt T1",NC,Grundy Center,77085,389591.4,1747.48105,9760.87733,10205,48394,422138
authenticbackstay,charlie,Fletcher,Mcbride,3191,James St,IL,Henry,54915,302994.1,3482.265113,6960.815688,8030,48394,292894
wakedodger,robert,Donavan,Nolan,8834,19th Ave S,NV,Falkner,71263,639640.3,27351.90506,1907.233241,14338,48394,254985
pencilgate,thomas,Payton,Cooley,2468,Hill Ter,NE,Shepardsville,57867,578879.0,1302.37802,16102.94406,17012,48394,282845
preparemixture,hockey,Roberto,Bartlett,6403, Private Road 3814,FL,Hartrandt,48561,311435.1,1000.117148,9779.440433,11519,48394,589729
noodlesable,ranger,Gavin,Fowler,4118,S B St 520 W Main St,NH,Cimarron Hills,92239,903324.1,1531.367352,6446.853951,788,48394,631096
meatballsstressed,daniel,Leonard,Liu,6713,Heather Dr,NJ,Goff,11318,215552.5,1134.39095,741.2418369,13219,48394,384487
kayakerforms,starwars,Antoine,English,4959,55th Ave W,NM,Vega Alta,55845,157728.8,823.7282392,58301.38126,13565,48394,154952
testsdeadly,klaster,Justice,Glass,2104,W Lafayette St,NY,Oglethorpe,24140,1190853.6,1377.087032,14809.89049,14309,48394,568219
earnslender,112233,Raelynn,Villarreal,5914,Hill Rd,OH,Heidelberg,77287,248680.9,2456.698387,5358.887113,6038,48394,351009
arcuatebittersweet,george,Tripp,Pruitt,1053,Smokey Dr,OR,McClellanville,98022,418618.3,1047.339026,13313.40688,8058,48394,416173
archeryounger,asshole,Kaylyn,Vincent,6190,N Malta St,CO,Paw Paw Lake,59006,626908.9,10595.94184,5980.725374,6811,48394,128018
